Subject,Face,FaceExpression,Acc
1,Happy 1 Male.JPG,Happy,1
1,Happy 2 Male.JPG,Happy,1
1,Happy 3 Female.JPG,Happy,1
1,Happy 4 Female.JPG,Happy,1
1,Happy 5 Male.JPG,Happy,0
1,Happy 6 Male.JPG,Happy,1
1,Happy 7 Female.JPG,Happy,1
1,Happy 8 Female.JPG,Happy,1
1,Happy 9 Male.JPG,Happy,1
1,Happy 10 Male.JPG,Happy,1
1,Happy 11 Female.JPG,Happy,1
1,Happy 12 Female.JPG,Happy,1
1,Happy 13 Male.JPG,Happy,1
1,Happy 14 Male.JPG,Happy,1
1,Happy 15 Female.JPG,Happy,1
1,Happy 16 Female.JPG,Happy,1
2,Happy 1 Male.JPG,Happy,1
2,Happy 2 Male.JPG,Happy,1
2,Happy 3 Female.JPG,Happy,1
2,Happy 4 Female.JPG,Happy,1
2,Happy 5 Male.JPG,Happy,1
2,Happy 6 Male.JPG,Happy,1
2,Happy 7 Female.JPG,Happy,1
2,Happy 8 Female.JPG,Happy,1
2,Happy 10 Male.JPG,Happy,1
2,Happy 11 Female.JPG,Happy,0
2,Happy 12 Female.JPG,Happy,1
2,Happy 13 Male.JPG,Happy,1
2,Happy 14 Male.JPG,Happy,1
2,Happy 15 Female.JPG,Happy,1
2,Happy 16 Female.JPG,Happy,1
5,Happy 3 Female.JPG,Happy,1
5,Happy 4 Female.JPG,Happy,1
5,Happy 1 Male.JPG,Happy,1
5,Happy 2 Male.JPG,Happy,1
5,Happy 8 Female.JPG,Happy,1
5,Happy 6 Male.JPG,Happy,1
5,Happy 11 Female.JPG,Happy,1
5,Happy 12 Female.JPG,Happy,1
5,Happy 9 Male.JPG,Happy,0
5,Happy 10 Male.JPG,Happy,0
5,Happy 15 Female.JPG,Happy,1
5,Happy 16 Female.JPG,Happy,1
5,Happy 13 Male.JPG ,Happy,1
6,Happy 1 Male.JPG,Happy,1
6,Happy 2 Male.JPG,Happy,1
6,Happy 3 Female.JPG,Happy,1
6,Happy 4 Female.JPG,Happy,1
6,Happy 5 Male.JPG,Happy,1
6,Happy 6 Male.JPG,Happy,1
6,Happy 7 Female.JPG,Happy,1
6,Happy 8 Female.JPG,Happy,1
6,Happy 9 Male.JPG,Happy,1
6,Happy 10 Male.JPG,Happy,1
6,Happy 11 Female.JPG,Happy,1
6,Happy 12 Female.JPG,Happy,1
6,Happy 13 Male.JPG,Happy,1
6,Happy 15 Female.JPG,Happy,1
6,Happy 16 Female.JPG,Happy,1
8,Happy 3 Female.JPG,Happy,1
8,Happy 4 Female.JPG,Happy,1
8,Happy 1 Male.JPG,Happy,1
8,Happy 2 Male.JPG,Happy,1
8,Happy 7 Female.JPG,Happy,0
8,Happy 8 Female.JPG,Happy,1
8,Happy 5 Male.JPG,Happy,1
8,Happy 6 Male.JPG,Happy,1
8,Happy 11 Female.JPG,Happy,1
8,Happy 12 Female.JPG,Happy,1
8,Happy 9 Male.JPG,Happy,0
8,Happy 10 Male.JPG,Happy,1
8,Happy 15 Female.JPG,Happy,1
8,Happy 16 Female.JPG,Happy,1
8,Happy 13 Male.JPG ,Happy,1
8,Happy 14 Male.JPG,Happy,1
9,Happy 1 Male.JPG,Happy,1
9,Happy 2 Male.JPG,Happy,1
9,Happy 3 Female.JPG,Happy,1
9,Happy 4 Female.JPG,Happy,1
9,Happy 5 Male.JPG,Happy,1
9,Happy 6 Male.JPG,Happy,1
9,Happy 8 Female.JPG,Happy,1
9,Happy 9 Male.JPG,Happy,1
9,Happy 10 Male.JPG,Happy,1
9,Happy 11 Female.JPG,Happy,1
9,Happy 12 Female.JPG,Happy,1
9,Happy 13 Male.JPG,Happy,1
9,Happy 14 Male.JPG,Happy,1
9,Happy 15 Female.JPG,Happy,1
9,Happy 16 Female.JPG,Happy,1
10,Happy 1 Male.JPG,Happy,1
10,Happy 3 Female.JPG,Happy,0
10,Happy 4 Female.JPG,Happy,1
10,Happy 5 Male.JPG,Happy,1
10,Happy 6 Male.JPG,Happy,1
10,Happy 7 Female.JPG,Happy,1
10,Happy 8 Female.JPG,Happy,1
10,Happy 9 Male.JPG,Happy,1
10,Happy 10 Male.JPG,Happy,1
10,Happy 11 Female.JPG,Happy,1
10,Happy 12 Female.JPG,Happy,1
10,Happy 13 Male.JPG,Happy,1
10,Happy 15 Female.JPG,Happy,1
